,name,url,image,price_type,price,price_range,vendor,subvendor,rating,review_count
117,"ThinkPad E16 Gen 3 Business Laptop With 16-Inch WUXGA Display,Core Ultra 7 255H Processor/16GB RAM/512GB SSD/Intel Arc Graphics/Windows 11 Pro English black",https://www.noon.com/egypt-en/thinkpad-e16-gen-3-business-laptop-with-16-inch-wuxga-display-core-ultra-7-255h-processor-16gb-ram-512gb-ssd-intel-arc-graphics-windows-11-pro-english-black/N70254784V/p/?o=eb4fb1d75c3e2b8b,https://f.nooncdn.com/p/pnsku/N70254784V/45/_/1762251032/68e73889-3243-4980-aa8a-b1f256e41e51.jpg?width=800,discrete,60217.0,,Noon,,3.8,
118,"Renewed Latitude 7480 Laptop With 14-Inch Full HD Display, Core i7 Processor/16GB RAM/512GB SSD/Intel HD Graphics 650/Windows 10 /International Version English Black",https://www.noon.com/egypt-en/renewed-latitude-7480-laptop-with-14-inch-full-hd-display-core-i7-processor-16gb-ram-512gb-ssd-intel-hd-graphics-650-windows-10-international-version-english-black/N14163874A/p/?o=d39ed3512bfa6fdd,https://f.nooncdn.com/p/v1649657819/N14163874A_1.jpg?width=800,discrete,18400.0,,Noon,,3.2,
119,MacBook Air MC6T4 | 13 Inch Display | Apple M4 Chip | 10-Core CPU 8-Core GPU | 16GB RAM | 256GB SSD | macOS | English Keyboard | International Version | English Sky Blue,https://www.noon.com/egypt-en/macbook-air-mc6t4-13-inch-display-apple-m4-chip-10-core-cpu-8-core-gpu-16gb-ram-256gb-ssd-macos-english-keyboard-international-version-english-sky-blue/N70154913V/p/?o=d8c66638cbb451bc,https://f.nooncdn.com/p/pnsku/N70154913V/45/_/1764242392/fdea9e2a-68e2-44b4-955c-79f99d53f961.jpg?width=800,discrete,59431.0,,Noon,,4.6,
120,"Latitude 7490 Laptop With 14-Inch Display, Core i5-8350U Processor/8GB RAM/512GB SSD/Integrated Graphics/Windows 11 Pro english Black",https://www.noon.com/egypt-en/latitude-7490-laptop-with-14-inch-display-core-i5-8350u-processor-8gb-ram-512gb-ssd-integrated-graphics-windows-11-pro-english-black/N53429500A/p/?o=c37c0ac50825156c,https://f.nooncdn.com/p/v1692628209/N53429500A_4.jpg?width=800,discrete,20650.0,,Noon,,3.6,
121,"MacBook Neo | 13-Inch Display | A18 Pro, 6-core CPU, 5-core GPU, 16-core Neural Engine Processor | 8GB RAM | 256GB SSD| English And Arabic Keyboard | Blush",https://www.noon.com/egypt-en/macbook-neo-13-inch-display-a18-pro-6-core-cpu-5-core-gpu-16-core-neural-engine-processor-8gb-ram-256gb-ssd-english-and-arabic-keyboard-blush/N70305937V/p/?o=fdcc42fd87dc451e,https://f.nooncdn.com/p/pnsku/N70305937V/45/_/1773292690/3beb2701-a409-478f-a63e-442b46065d5c.jpg?width=800,discrete,44000.0,,Noon,,4.8,
122,"Renewed HP EliteBook 840 G6 | Intel Core i7-8th GEN(U) | 14"" inch | RAM 8G| Hardisk 256G | With Bag English Silver",https://www.noon.com/egypt-en/renewed-hp-elitebook-840-g6-intel-core-i7-8th-gen-u-14-inch-ram-8g-hardisk-256g-with-bag-english-silver/N70192973V/p/?o=e3c21916d9785c6c,https://f.nooncdn.com/p/pnsku/N70192973V/45/_/1759414932/1fbbcef3-ca1e-42e9-bdd2-56e578046680.jpg?width=800,discrete,22199.0,,Noon,,4.1,
123,LAPTOP LENOVO LOQ ESSENTIAL 15IRX11 CPU I7 13650 HX RAM 16G DDR5 4800 HDD 512 SSD M2 NVME VGA NIVIDIA RTX5050 8G DDR7 15.6 FHD 144HZ WIN 11 HOME 2 YEARS WARRANTY 83SC001NED English/Arabic luna grey,https://www.noon.com/egypt-en/laptop-lenovo-loq-essential-15irx11-cpu-i7-13650-hx-ram-16g-ddr5-4800-hdd-512-ssd-m2-nvme-vga-nividia-rtx5050-8g-ddr7-15-6-fhd-144hz-win-11-home-2-years-warranty-83sc001ned-english-arabic-luna-grey/N70269988V/p/?o=b5a20809e4e27e9f,https://f.nooncdn.com/p/pnsku/N70269988V/45/_/1766080574/ac5baaf7-7ce4-4182-8ea5-ed942f6cb001.jpg?width=800,discrete,60999.0,,Noon,,3.8,
124,"Latitude 5300 (Upgraded Version) Laptop With 13.3-Inch Display, Core i5 Processer/16GB RAM/512GB SSD/Intel UHD Graphics Windows 10 Pro English/Arabic Black",https://www.noon.com/egypt-en/latitude-5300-upgraded-version-laptop-with-13-3-inch-display-core-i5-processer-16gb-ram-512gb-ssd-intel-uhd-graphics-windows-10-pro-english-arabic-black/N51073500A/p/?o=c9ad6d92f368bcdf,https://f.nooncdn.com/p/v1633261332/N51073500A_1.jpg?width=800,discrete,17000.0,,Noon,,3.6,
125,MacBook Air MW123 | 13 Inch Display | Apple M4 Chip | 10-Core CPU 8-Core GPU | 16GB RAM | 256GB SSD | macOS | English Keyboard | International Version | Midnight,https://www.noon.com/egypt-en/macbook-air-mw123-13-inch-display-apple-m4-chip-10-core-cpu-8-core-gpu-16gb-ram-256gb-ssd-macos-english-keyboard-international-version-midnight/N70154912V/p/?o=ebda150932b95f1a,https://f.nooncdn.com/p/pnsku/N70154912V/45/_/1764242436/53542bc9-b94c-42ce-835b-ceccbc69fd5d.jpg?width=800,discrete,62000.0,,Noon,,4.6,
126,"Latitude 7490 With 14-InchDisplay, Core i7 Processor/8GB RAM/256GB SSD/Integrated Graphic Card Black",https://www.noon.com/egypt-en/latitude-7490-with-14-inchdisplay-core-i7-processor-8gb-ram-256gb-ssd-integrated-graphic-card-black/N31325969A/p/?o=bace3a797b3107dc,https://f.nooncdn.com/p/v1610365567/N31325969A_1.jpg?width=800,discrete,26300.0,,Noon,,3.6,
